distance_km,hour,day_of_week,area_type,historical_speed,eta_minutes
16.86,13,Friday,residential,19.74,51.25
17.83,0,Tuesday,commercial,32.11,39.98
23.8,20,Saturday,commercial,20.84,82.23
14.1,22,Sunday,commercial,22.01,46.12
18.21,18,Thursday,commercial,35.16,52.83
6.09,9,Saturday,commercial,26.38,23.55
4.84,12,Tuesday,commercial,25.08,13.89
15.49,4,Monday,residential,32.79,28.34
18.0,8,Thursday,commercial,15.4,119.22
17.72,4,Wednesday,commercial,35.56,35.88
15.72,10,Friday,commercial,17.28,92.79
1.44,8,Tuesday,commercial,33.46,4.39
15.42,18,Sunday,commercial,35.12,44.78
9.84,13,Thursday,commercial,34.08,20.79
13.66,20,Friday,commercial,32.86,29.93
9.75,22,Friday,residential,25.41,23.02
6.66,13,Friday,residential,19.0,21.03
19.0,23,Wednesday,commercial,31.37,43.61
8.51,15,Sunday,commercial,16.95,36.15
11.36,2,Thursday,commercial,39.58,20.66
13.45,14,Friday,commercial,37.37,25.91
5.6,3,Saturday,residential,36.81,9.13
21.3,13,Wednesday,commercial,23.31,65.79
23.14,1,Monday,residential,29.13,47.66
13.51,4,Monday,residential,19.9,40.73
12.72,7,Wednesday,residential,30.16,25.31
6.27,10,Friday,residential,34.26,16.47
14.96,11,Wednesday,commercial,22.0,48.96
7.81,13,Saturday,residential,16.92,27.7
1.35,19,Wednesday,commercial,23.98,5.74
24.06,2,Thursday,residential,24.16,59.75
24.6,21,Monday,residential,19.86,74.32
17.87,8,Wednesday,commercial,35.97,50.67
5.79,11,Friday,residential,32.22,10.78
22.88,5,Tuesday,residential,20.46,67.1
23.05,22,Friday,residential,15.58,88.77
8.46,19,Saturday,residential,36.68,20.76
10.22,2,Saturday,commercial,19.52,37.7
8.56,23,Saturday,residential,32.02,16.04
16.33,1,Tuesday,residential,30.27,32.37
11.43,22,Saturday,residential,28.13,24.38
1.07,4,Thursday,commercial,37.31,2.06
7.27,3,Tuesday,residential,32.78,13.31
6.31,10,Monday,commercial,32.31,19.92
4.8,13,Saturday,commercial,36.1,9.57
4.78,21,Friday,residential,21.63,13.26
1.78,13,Tuesday,commercial,30.7,4.17
24.53,8,Tuesday,commercial,23.56,106.2
7.18,20,Thursday,commercial,32.44,15.94
3.84,22,Wednesday,residential,32.11,7.18
14.96,3,Sunday,commercial,23.41,46.01
5.69,1,Wednesday,commercial,18.4,22.27
21.92,15,Thursday,commercial,17.64,89.47
6.16,15,Tuesday,commercial,36.47,12.16
6.35,8,Monday,residential,33.11,17.26
19.9,3,Saturday,commercial,25.73,55.69
19.75,1,Monday,commercial,26.59,53.48
18.04,3,Saturday,residential,27.89,38.81
20.79,17,Wednesday,residential,32.12,58.25
18.21,2,Friday,residential,35.67,30.63
7.64,6,Monday,commercial,23.55,23.36
20.22,10,Wednesday,residential,28.39,64.1
15.23,6,Thursday,commercial,26.81,40.9
5.54,21,Thursday,commercial,20.87,19.11
15.66,11,Friday,residential,21.67,43.36
1.77,1,Saturday,residential,35.78,2.97
10.22,19,Thursday,commercial,35.84,29.09
12.96,7,Thursday,residential,17.75,43.81
19.59,4,Friday,residential,25.58,45.95
23.22,21,Tuesday,residential,24.56,56.73
11.78,20,Tuesday,commercial,20.87,40.64
15.61,2,Sunday,commercial,30.89,36.38
2.2,20,Monday,residential,18.96,6.96
14.26,5,Friday,commercial,17.75,57.84
22.12,1,Saturday,commercial,34.63,45.99
17.7,20,Saturday,commercial,29.01,43.93
10.63,14,Wednesday,residential,29.7,21.47
2.52,22,Tuesday,residential,24.48,6.18
21.92,4,Sunday,commercial,34.41,45.87
10.0,16,Wednesday,residential,33.38,17.97
4.54,0,Saturday,commercial,19.85,16.47
21.18,1,Wednesday,residential,19.95,63.7
12.32,9,Wednesday,commercial,35.71,35.19
6.83,19,Tuesday,residential,18.12,33.92
3.13,3,Wednesday,commercial,31.29,7.2
23.27,10,Saturday,residential,35.91,58.32
11.88,18,Sunday,commercial,18.95,63.95
23.11,6,Tuesday,residential,22.52,61.57
17.62,13,Friday,residential,38.11,27.74
22.67,9,Saturday,residential,27.22,74.96
18.9,9,Sunday,residential,27.56,61.72
10.43,1,Saturday,commercial,16.02,46.88
22.08,17,Sunday,commercial,35.13,64.11
9.66,10,Friday,residential,31.53,27.57
11.52,13,Tuesday,residential,29.29,23.6
4.5,21,Wednesday,residential,27.02,9.99
19.52,12,Wednesday,commercial,24.89,56.47
2.17,8,Thursday,commercial,15.52,14.26
24.32,23,Thursday,commercial,39.37,44.48
16.61,18,Monday,commercial,30.16,56.17
4.42,15,Monday,commercial,36.8,8.65
1.07,12,Monday,commercial,26.62,2.89
6.99,0,Friday,commercial,16.03,31.4
17.5,12,Sunday,commercial,30.91,40.76
9.72,9,Friday,commercial,18.2,54.47
1.34,17,Saturday,residential,33.27,3.62
11.95,10,Monday,residential,32.73,32.86
12.55,16,Monday,commercial,34.3,26.34
2.51,7,Sunday,residential,29.68,5.07
15.02,5,Tuesday,commercial,26.52,40.78
4.1,17,Monday,residential,33.66,10.96
19.2,22,Tuesday,commercial,26.93,51.33
19.81,17,Wednesday,commercial,24.56,82.27
21.38,11,Saturday,residential,33.97,37.76
18.13,21,Sunday,commercial,29.56,44.16
21.45,6,Monday,commercial,29.68,52.04
12.64,6,Saturday,commercial,23.59,38.58
20.06,5,Friday,commercial,18.68,77.32
7.59,8,Monday,residential,33.36,20.48
15.74,20,Friday,commercial,17.15,66.08
11.78,12,Tuesday,residential,33.72,20.96
22.18,17,Sunday,commercial,19.3,117.22
19.03,14,Wednesday,residential,23.3,49.0
1.89,12,Thursday,residential,35.13,3.23
3.26,0,Thursday,residential,33.01,5.93
11.94,17,Friday,commercial,24.83,49.05
3.13,2,Tuesday,commercial,18.27,12.33
15.71,8,Monday,commercial,32.43,49.41
12.24,17,Sunday,residential,22.58,48.79
18.88,6,Sunday,commercial,19.95,68.14
23.93,20,Saturday,commercial,25.87,66.6
4.62,0,Monday,residential,39.62,7.0
18.44,17,Tuesday,commercial,19.81,94.95
1.54,5,Monday,residential,28.67,3.22
11.46,21,Saturday,commercial,32.89,25.09
22.61,0,Tuesday,commercial,31.49,51.7
8.32,22,Friday,residential,34.66,14.4
21.17,23,Sunday,residential,33.8,37.58
22.54,4,Friday,residential,24.69,54.78
24.34,12,Saturday,commercial,21.95,79.84
17.8,18,Friday,residential,28.55,56.11
15.75,23,Tuesday,commercial,37.57,30.18
5.36,6,Friday,residential,27.58,11.66
8.42,0,Thursday,residential,28.06,18.0
1.74,3,Monday,commercial,25.76,4.86
19.71,15,Wednesday,commercial,27.46,51.68
8.23,15,Friday,commercial,18.29,32.4
1.89,21,Wednesday,commercial,16.92,8.04
23.78,5,Monday,residential,20.64,69.13
7.63,11,Sunday,commercial,36.09,15.22
18.27,10,Monday,residential,36.02,45.65
11.48,15,Monday,commercial,18.63,44.37
6.86,21,Thursday,residential,19.55,21.05
22.49,13,Thursday,commercial,24.54,65.99
1.85,11,Wednesday,commercial,28.7,4.64
16.07,17,Thursday,commercial,23.56,69.57
22.31,5,Thursday,residential,22.68,59.02
2.77,22,Monday,residential,29.43,5.65
12.65,18,Tuesday,commercial,36.23,35.61
22.92,13,Friday,residential,33.47,41.09
1.03,12,Friday,residential,31.45,1.97
5.36,6,Friday,commercial,24.86,15.52
8.54,16,Wednesday,commercial,36.08,17.04
9.48,13,Wednesday,commercial,37.55,18.18
18.58,17,Sunday,commercial,22.7,83.49
23.55,10,Wednesday,residential,15.69,135.09
8.66,11,Tuesday,residential,18.28,28.42
24.3,19,Saturday,commercial,30.18,82.13
5.85,16,Friday,commercial,32.48,12.97
23.77,15,Thursday,residential,18.89,75.5
16.54,22,Saturday,residential,31.35,31.66
21.54,10,Wednesday,commercial,15.94,137.83
16.22,15,Wednesday,residential,27.66,35.18
12.52,15,Sunday,commercial,24.84,36.29
11.31,14,Wednesday,commercial,38.94,20.91
14.57,14,Thursday,commercial,19.77,53.06
5.07,23,Friday,commercial,39.01,9.36
11.56,9,Tuesday,commercial,37.07,31.81
6.93,14,Tuesday,residential,15.57,26.71
11.58,5,Saturday,commercial,36.34,22.94
23.91,0,Saturday,commercial,37.77,45.58
17.36,22,Tuesday,residential,23.11,45.07
4.35,22,Saturday,commercial,19.92,15.72
12.54,15,Friday,commercial,37.82,23.87
2.01,1,Saturday,commercial,22.85,6.33
11.21,13,Saturday,residential,34.45,19.52
3.54,23,Tuesday,commercial,31.58,8.07
2.55,13,Wednesday,commercial,31.78,5.78
4.96,12,Monday,commercial,23.18,15.41
20.37,17,Wednesday,residential,15.92,115.16
24.87,3,Tuesday,commercial,26.88,66.62
12.77,23,Sunday,commercial,34.23,26.86
1.26,21,Tuesday,residential,19.34,3.91
5.57,23,Thursday,residential,17.32,19.3
4.26,22,Wednesday,residential,38.36,6.66
1.01,13,Friday,commercial,35.02,2.08
18.61,9,Friday,residential,17.91,93.52
11.16,17,Saturday,residential,34.28,29.3
17.87,14,Monday,residential,17.18,62.41
4.96,5,Saturday,commercial,16.88,21.16
23.67,13,Wednesday,residential,23.34,60.85
3.67,11,Wednesday,commercial,24.5,10.79
17.41,5,Monday,commercial,27.67,45.3
4.49,12,Thursday,commercial,15.84,20.41
10.23,3,Tuesday,residential,30.7,19.99
2.25,23,Wednesday,commercial,27.44,5.9
12.31,8,Monday,commercial,28.41,44.2
3.01,14,Tuesday,residential,28.41,6.36
4.7,12,Wednesday,residential,19.16,14.72
17.51,5,Wednesday,commercial,39.37,32.02
16.03,11,Wednesday,residential,27.64,34.8
4.27,9,Friday,residential,21.97,17.49
6.0,13,Monday,residential,15.16,23.75
21.16,22,Thursday,residential,30.98,40.98
19.16,19,Saturday,residential,28.49,60.53
2.09,9,Sunday,residential,26.65,7.06
6.47,18,Wednesday,commercial,38.24,17.26
23.07,17,Thursday,residential,18.0,115.35
6.0,6,Wednesday,residential,18.22,19.76
21.34,11,Monday,commercial,34.29,44.81
14.5,2,Wednesday,residential,30.17,28.84
19.83,17,Monday,commercial,36.8,54.96
15.79,19,Sunday,residential,28.13,50.52
15.82,1,Friday,commercial,32.54,35.0
9.12,14,Wednesday,commercial,31.92,20.57
22.12,6,Sunday,residential,37.78,35.13
16.71,9,Monday,residential,28.82,52.18
10.58,5,Thursday,residential,30.79,20.62
13.09,3,Monday,residential,32.66,24.05
8.97,12,Tuesday,residential,25.42,21.17
20.13,3,Friday,commercial,19.35,74.9
8.58,2,Friday,residential,37.85,13.6
2.47,12,Wednesday,residential,27.69,5.35
13.89,3,Thursday,residential,20.65,40.36
23.49,9,Wednesday,commercial,39.36,60.87
18.27,2,Friday,residential,30.74,35.66
13.59,22,Thursday,commercial,25.87,37.82
17.99,5,Monday,residential,18.51,58.31
14.35,10,Monday,residential,22.7,56.89
16.85,7,Wednesday,commercial,21.04,57.66
13.3,4,Saturday,commercial,27.9,34.32
1.95,10,Sunday,commercial,15.54,12.8
16.76,8,Friday,commercial,29.57,57.81
10.32,8,Monday,commercial,35.3,29.82
2.46,19,Saturday,commercial,22.28,11.26
7.75,13,Wednesday,residential,25.45,18.27
7.06,10,Saturday,commercial,36.7,19.62
17.69,4,Sunday,residential,34.73,30.56
4.96,6,Friday,commercial,35.96,9.93
6.81,4,Wednesday,residential,34.8,11.74
21.73,2,Thursday,commercial,38.63,40.5
13.96,1,Tuesday,residential,27.73,30.21
24.85,11,Friday,commercial,27.62,64.78
24.78,21,Friday,commercial,22.07,80.84
15.19,21,Tuesday,residential,30.0,30.38
5.34,3,Tuesday,residential,22.71,14.11
17.72,19,Saturday,residential,30.58,52.15
6.58,21,Monday,residential,25.9,15.24
18.08,17,Saturday,residential,21.83,74.54
2.95,22,Friday,commercial,17.54,12.11
13.7,15,Tuesday,residential,31.92,25.75
4.25,19,Sunday,residential,34.25,11.17
3.27,18,Saturday,commercial,31.37,10.63
8.15,19,Monday,residential,35.83,20.47
10.23,9,Wednesday,residential,22.99,40.05
18.51,23,Sunday,residential,30.18,36.8
8.1,10,Saturday,commercial,22.82,36.21
16.29,17,Friday,residential,38.1,38.48
17.46,11,Thursday,commercial,31.17,40.33
2.61,11,Thursday,commercial,30.63,6.14
10.39,5,Saturday,residential,22.25,28.02
2.37,23,Thursday,commercial,29.49,5.79
13.63,2,Wednesday,commercial,32.18,30.5
6.1,0,Tuesday,commercial,39.52,11.11
14.5,16,Sunday,commercial,30.27,34.49
10.86,8,Monday,residential,17.96,54.42
4.5,13,Monday,commercial,21.37,15.16
10.62,3,Wednesday,commercial,15.43,49.56
12.98,20,Friday,commercial,24.3,38.46
12.79,2,Wednesday,residential,17.1,44.88
1.07,22,Saturday,residential,36.05,1.78
8.14,19,Monday,residential,23.22,31.55
9.87,18,Saturday,commercial,25.57,39.37
14.78,22,Monday,residential,39.32,22.55
19.5,20,Wednesday,commercial,31.46,44.63
18.27,5,Friday,commercial,20.07,65.54
13.97,22,Friday,commercial,25.53,39.4
16.96,21,Tuesday,residential,20.44,49.78
5.97,21,Friday,residential,25.06,14.29
17.15,21,Tuesday,commercial,31.71,38.94
7.38,12,Wednesday,commercial,19.28,27.56
7.92,8,Saturday,residential,19.09,37.34
4.11,10,Thursday,residential,22.86,16.18
12.2,9,Saturday,commercial,25.03,49.72
18.07,19,Tuesday,residential,15.6,104.25
11.8,17,Wednesday,residential,29.12,36.47
13.59,2,Tuesday,commercial,30.15,32.45
6.78,2,Wednesday,residential,22.36,18.19
9.97,16,Monday,commercial,30.46,23.57
3.34,4,Wednesday,commercial,32.31,7.44
6.66,2,Tuesday,commercial,20.72,23.14
3.29,18,Wednesday,commercial,37.59,8.93
4.03,1,Thursday,residential,30.34,7.97
13.81,3,Thursday,residential,30.12,27.51
17.6,20,Tuesday,commercial,19.92,63.61
24.95,17,Friday,residential,31.31,71.72
8.42,5,Friday,residential,20.13,25.1
21.27,21,Wednesday,commercial,17.61,86.96
10.75,10,Saturday,residential,18.04,53.63
12.54,9,Thursday,commercial,31.54,40.55
20.7,19,Tuesday,commercial,32.43,65.11
12.8,20,Wednesday,commercial,38.2,24.13
22.59,21,Friday,residential,22.31,60.75
4.25,18,Saturday,commercial,33.02,13.13
4.92,10,Wednesday,commercial,16.79,29.89
3.52,13,Monday,residential,38.95,5.42
14.9,21,Tuesday,commercial,23.47,45.71
24.58,6,Monday,commercial,35.18,50.31
9.73,2,Monday,commercial,33.03,21.21
3.46,12,Saturday,residential,29.26,7.1
22.32,12,Wednesday,residential,22.74,58.89
17.81,22,Monday,residential,35.22,30.34
23.58,3,Tuesday,commercial,20.26,83.8
10.78,2,Monday,commercial,23.2,33.46
22.24,15,Tuesday,commercial,29.4,54.47
7.63,14,Thursday,commercial,34.92,15.73
21.98,18,Friday,commercial,20.14,111.32
18.9,15,Monday,residential,15.53,73.02
16.67,20,Saturday,residential,34.35,29.12
10.7,19,Friday,residential,31.84,30.24
13.7,7,Monday,commercial,18.64,52.92
10.03,9,Sunday,residential,24.22,37.27
8.56,3,Tuesday,residential,28.91,17.77
8.01,19,Monday,commercial,21.7,37.65
9.92,14,Tuesday,commercial,16.83,42.44
21.54,2,Friday,commercial,33.2,46.71
16.04,1,Sunday,commercial,23.9,48.32
23.83,3,Saturday,residential,38.03,37.6
23.21,3,Friday,commercial,24.79,67.41
10.9,8,Thursday,residential,24.49,40.06
5.34,2,Tuesday,residential,38.18,8.39
15.99,12,Wednesday,residential,34.31,27.96
6.55,22,Sunday,commercial,17.55,26.87
15.1,4,Wednesday,residential,25.61,35.38
21.55,23,Thursday,residential,18.02,71.75
8.7,10,Tuesday,commercial,27.1,32.75
11.11,21,Monday,residential,28.81,23.14
13.82,8,Friday,commercial,15.9,88.66
4.62,15,Friday,residential,22.98,12.06
22.47,10,Saturday,commercial,37.65,60.87
19.32,11,Monday,residential,24.83,46.69
13.41,17,Wednesday,residential,36.87,32.73
5.98,4,Monday,residential,17.34,20.69
24.05,10,Thursday,residential,21.78,99.38
13.54,19,Thursday,commercial,35.24,39.19
17.29,15,Thursday,residential,30.43,34.09
23.41,11,Friday,commercial,20.57,81.94
11.13,19,Monday,commercial,16.08,70.6
6.89,18,Wednesday,residential,34.17,18.15
5.48,6,Friday,commercial,19.08,20.68
22.87,15,Monday,residential,17.19,79.83
14.66,9,Thursday,residential,19.86,66.44
11.56,3,Thursday,commercial,24.91,33.41
8.4,13,Friday,commercial,28.39,21.3
20.95,2,Friday,commercial,34.68,43.49
2.38,15,Tuesday,commercial,36.76,4.66
22.19,19,Sunday,residential,33.4,59.79
3.95,23,Tuesday,commercial,15.93,17.85
15.45,16,Monday,commercial,31.0,35.88
20.75,15,Monday,commercial,25.8,57.91
7.19,20,Sunday,residential,38.25,11.28
6.74,6,Thursday,commercial,34.74,13.97
11.8,12,Tuesday,commercial,34.78,24.43
20.59,9,Tuesday,residential,30.3,61.16
7.32,8,Monday,commercial,36.88,20.25
15.48,20,Monday,residential,22.8,40.74
7.17,16,Thursday,commercial,30.15,17.12
3.43,19,Monday,commercial,18.18,19.24
10.76,23,Saturday,residential,15.39,41.95
13.93,20,Thursday,residential,22.91,36.48
15.57,13,Monday,commercial,35.35,31.71
8.28,22,Monday,residential,28.44,17.47
6.3,8,Thursday,residential,24.34,23.29
7.48,6,Tuesday,commercial,35.89,15.01
23.34,8,Thursday,residential,20.68,101.58
9.61,2,Monday,commercial,22.1,31.31
16.41,11,Wednesday,commercial,35.79,33.01
22.14,11,Thursday,commercial,38.22,41.71
6.81,10,Monday,residential,37.93,16.16
9.04,11,Wednesday,commercial,25.6,25.42
7.37,6,Saturday,residential,24.27,18.22
5.7,0,Monday,commercial,39.28,10.45
16.66,1,Monday,residential,26.36,37.92
1.95,9,Monday,residential,34.63,5.07
17.94,15,Saturday,commercial,28.08,46.0
3.27,16,Saturday,residential,31.52,6.22
21.1,20,Thursday,commercial,23.05,65.91
2.31,5,Wednesday,commercial,25.32,6.57
2.42,23,Tuesday,commercial,23.7,7.35
24.53,21,Wednesday,residential,33.46,43.99
10.47,17,Saturday,residential,23.3,40.44
12.91,7,Sunday,residential,20.08,38.58
12.37,3,Thursday,commercial,24.0,37.11
18.33,5,Monday,residential,34.54,31.84
2.24,9,Tuesday,commercial,39.84,5.73
6.7,4,Friday,commercial,22.77,21.19
16.85,12,Wednesday,commercial,28.83,42.08
12.17,6,Sunday,commercial,16.33,53.66
6.44,1,Thursday,residential,31.31,12.34
22.5,19,Friday,residential,37.23,54.39
3.24,23,Monday,commercial,29.78,7.83
17.03,2,Sunday,residential,35.67,28.65
15.41,20,Sunday,commercial,38.18,29.06
24.84,4,Saturday,residential,34.0,43.84
10.14,20,Friday,commercial,31.69,23.04
7.57,15,Wednesday,residential,15.5,29.3
1.27,11,Wednesday,residential,30.63,2.49
3.9,22,Sunday,residential,15.49,15.11
23.61,21,Sunday,residential,35.74,39.64
19.48,14,Sunday,residential,36.63,31.91
10.83,5,Friday,residential,27.46,23.66
8.64,14,Thursday,commercial,26.84,23.18
6.17,8,Thursday,commercial,15.01,41.93
5.34,14,Tuesday,residential,24.13,13.28
14.12,22,Tuesday,commercial,22.58,45.02
10.34,5,Friday,commercial,28.51,26.11
9.91,4,Monday,residential,22.35,26.6
4.98,12,Monday,residential,26.65,11.21
18.52,21,Wednesday,residential,24.4,45.54
3.65,17,Tuesday,residential,18.14,18.11
23.05,3,Monday,residential,24.9,55.54
6.5,8,Sunday,residential,17.39,33.64
4.2,6,Friday,residential,16.5,15.27
3.0,1,Wednesday,commercial,38.78,5.57
5.34,9,Saturday,commercial,26.64,20.45
6.4,0,Friday,commercial,15.91,28.96
19.62,19,Wednesday,commercial,25.31,79.07
8.15,22,Monday,commercial,32.51,18.05
21.18,0,Sunday,residential,38.81,32.74
2.19,14,Wednesday,residential,30.57,4.3
9.0,18,Saturday,commercial,19.65,46.72
6.51,2,Wednesday,commercial,18.14,25.84
18.5,20,Tuesday,residential,15.06,73.71
11.32,8,Tuesday,residential,30.67,33.22
1.64,20,Tuesday,residential,31.3,3.14
6.2,11,Friday,commercial,32.29,13.82
24.12,2,Saturday,residential,34.05,42.5
21.85,0,Tuesday,residential,22.96,57.1
4.96,19,Thursday,residential,32.32,13.81
1.82,3,Monday,residential,15.72,6.95
2.25,20,Friday,residential,18.34,7.36
22.79,19,Wednesday,residential,36.23,56.61
2.22,14,Sunday,residential,16.81,7.92
11.6,10,Saturday,commercial,29.58,40.0
20.31,12,Monday,commercial,19.53,74.88
22.04,17,Sunday,commercial,29.6,75.95
6.4,5,Thursday,commercial,26.55,17.36
19.57,15,Monday,residential,37.21,31.56
22.86,17,Thursday,commercial,16.67,139.88
9.67,17,Thursday,commercial,28.02,35.2
19.12,0,Monday,commercial,33.04,41.67
6.09,7,Thursday,residential,15.05,24.28
24.74,22,Saturday,commercial,23.95,74.37
2.96,11,Tuesday,commercial,38.2,5.58
3.79,7,Tuesday,residential,25.99,8.75
20.7,17,Tuesday,residential,34.12,54.6
11.15,21,Tuesday,residential,38.7,17.29
14.73,16,Sunday,residential,17.01,51.96
8.05,22,Saturday,residential,32.94,14.66
3.71,5,Monday,residential,22.25,10.0
22.21,23,Saturday,residential,17.0,78.39
1.37,12,Saturday,residential,39.16,2.1
24.58,15,Thursday,residential,37.24,39.6
2.01,6,Friday,commercial,39.99,3.62
11.05,1,Tuesday,commercial,23.73,33.53
7.33,17,Friday,residential,29.88,22.08
14.8,23,Saturday,residential,25.12,35.35
12.21,5,Monday,commercial,21.45,40.98
11.37,18,Friday,commercial,38.01,30.51
2.2,3,Thursday,commercial,23.35,6.78
13.66,22,Sunday,commercial,25.89,37.99
4.5,20,Sunday,residential,18.9,14.29
2.11,12,Thursday,commercial,34.16,4.45
24.5,14,Monday,commercial,21.92,80.47
19.8,4,Wednesday,commercial,15.15,94.1
7.66,11,Friday,commercial,37.94,14.54
24.58,22,Saturday,residential,30.07,49.05
4.07,2,Sunday,residential,38.81,6.29
15.23,8,Tuesday,commercial,23.35,66.53
7.49,10,Saturday,commercial,33.68,22.68
14.94,8,Monday,residential,38.01,35.37
5.95,1,Monday,commercial,25.27,16.95
20.95,13,Sunday,commercial,37.2,40.55
17.15,11,Friday,residential,37.01,27.8
4.45,20,Tuesday,commercial,39.26,8.16
15.41,11,Tuesday,commercial,23.57,47.07
17.5,20,Thursday,residential,20.17,52.06
4.58,20,Monday,residential,23.77,11.56
13.6,16,Monday,residential,27.21,29.99
24.13,7,Monday,commercial,24.93,69.69
24.82,13,Tuesday,residential,23.76,62.68
4.09,23,Friday,commercial,22.58,13.04
21.93,19,Thursday,commercial,24.72,90.49
7.38,4,Sunday,commercial,18.72,28.38
20.5,21,Monday,residential,19.28,63.8
17.27,14,Tuesday,commercial,17.86,69.62
23.97,14,Tuesday,residential,27.62,52.07
24.15,12,Thursday,commercial,32.35,53.75
6.66,11,Friday,residential,22.57,17.7
10.56,6,Thursday,residential,36.73,17.25
6.81,0,Friday,residential,36.31,11.25
10.71,17,Sunday,residential,17.47,55.17
21.48,6,Monday,commercial,18.63,83.01
18.35,18,Friday,residential,16.32,101.19
16.58,0,Tuesday,residential,21.75,45.74
5.16,0,Wednesday,residential,39.82,7.77
20.11,17,Monday,residential,32.1,56.38
4.54,11,Wednesday,residential,19.98,13.63
14.38,3,Tuesday,residential,27.74,31.1
2.86,13,Saturday,commercial,26.53,7.76
23.38,2,Monday,residential,19.41,72.27
19.81,19,Wednesday,residential,30.36,58.73
23.05,12,Saturday,residential,30.83,44.86
19.56,6,Monday,commercial,38.33,36.74
18.04,5,Friday,commercial,19.55,66.44
19.96,6,Thursday,commercial,26.09,55.08
21.33,18,Friday,commercial,37.97,57.3
6.1,21,Wednesday,commercial,33.86,12.97
20.84,14,Friday,residential,33.83,36.96
7.72,20,Friday,residential,33.61,13.78
23.57,15,Tuesday,residential,16.89,83.73
10.78,0,Sunday,residential,26.76,24.17
11.9,8,Tuesday,residential,15.68,68.3
6.3,23,Wednesday,residential,35.67,10.6
18.13,14,Wednesday,residential,20.49,53.09
20.84,0,Friday,residential,22.66,55.18
4.0,1,Monday,residential,38.36,6.26
21.41,3,Monday,residential,34.47,37.27
18.08,6,Thursday,commercial,33.52,38.84
20.34,15,Tuesday,commercial,29.18,50.19
1.98,3,Friday,commercial,25.23,5.65
5.64,10,Thursday,residential,16.34,31.06
17.18,9,Friday,residential,26.0,59.47
14.6,15,Tuesday,residential,21.18,41.36
20.3,5,Monday,commercial,39.48,37.02
4.47,21,Friday,commercial,19.07,16.88
10.42,5,Sunday,residential,35.95,17.39
24.18,5,Monday,commercial,35.2,49.46
13.33,6,Monday,commercial,25.12,38.21
8.35,19,Thursday,commercial,33.78,25.21
1.86,0,Friday,residential,18.38,6.07
7.88,22,Monday,residential,36.59,12.92
3.28,18,Friday,residential,25.46,11.59
20.39,7,Friday,commercial,18.31,80.18
7.53,5,Wednesday,commercial,16.71,32.45
7.62,0,Thursday,commercial,32.55,16.86
22.43,20,Wednesday,residential,22.9,58.77
15.29,1,Thursday,residential,27.79,33.01
23.27,19,Sunday,residential,20.04,104.51
1.7,18,Wednesday,commercial,29.78,5.82
2.85,4,Tuesday,residential,26.8,6.38
1.01,23,Saturday,residential,21.8,2.78
21.96,4,Saturday,commercial,26.59,59.46
24.39,19,Wednesday,commercial,32.18,77.31
20.55,17,Thursday,commercial,34.27,61.16
8.8,0,Friday,commercial,35.22,17.99
22.56,14,Tuesday,residential,19.27,70.24
6.25,6,Wednesday,commercial,29.06,15.49
3.0,4,Saturday,commercial,31.99,6.75
20.67,16,Saturday,residential,32.07,38.67
19.45,19,Saturday,commercial,15.77,125.8
20.25,19,Saturday,commercial,39.99,51.65
16.48,13,Tuesday,residential,15.03,65.79
3.99,17,Friday,residential,39.06,9.19
16.91,22,Sunday,residential,27.83,36.46
8.51,14,Tuesday,residential,23.6,21.64
19.81,20,Friday,residential,23.48,50.62
9.75,2,Saturday,commercial,36.99,18.98
9.17,15,Saturday,residential,27.99,19.66
1.78,15,Tuesday,commercial,17.41,7.36
8.95,14,Saturday,commercial,16.4,39.29
16.16,2,Friday,commercial,32.54,35.76
7.18,20,Friday,residential,35.91,12.0
7.75,22,Thursday,commercial,37.18,15.01
1.1,19,Thursday,commercial,23.81,4.71
9.68,22,Sunday,commercial,28.02,24.87
2.94,0,Saturday,residential,32.85,5.37
13.42,5,Saturday,residential,16.46,48.92
12.02,11,Sunday,commercial,31.95,27.09
21.46,2,Wednesday,commercial,37.05,41.7
19.81,14,Wednesday,residential,36.64,32.44
19.53,7,Friday,commercial,39.74,35.38
22.54,23,Thursday,residential,38.21,35.39
15.58,21,Sunday,commercial,29.39,38.17
8.37,5,Tuesday,commercial,32.7,18.43
14.0,0,Wednesday,commercial,20.5,49.17
5.89,22,Thursday,commercial,18.1,23.43
16.51,0,Friday,residential,39.56,25.04
15.71,19,Thursday,commercial,28.78,55.68
24.75,7,Saturday,residential,16.84,88.18
11.31,3,Sunday,residential,19.18,35.38
15.44,13,Thursday,commercial,25.25,44.03
17.29,14,Monday,commercial,37.24,33.43
11.3,13,Monday,residential,18.93,35.82
1.7,0,Friday,commercial,35.06,3.49
9.26,16,Wednesday,commercial,30.1,22.15
2.7,23,Friday,residential,16.85,9.61
1.12,16,Thursday,residential,19.87,3.38
3.42,20,Wednesday,residential,30.46,6.74
18.72,10,Friday,commercial,28.33,67.4
23.22,3,Wednesday,commercial,19.56,85.47
18.84,21,Saturday,commercial,33.24,40.81
17.92,3,Thursday,residential,29.62,36.3
22.12,7,Sunday,residential,24.87,53.37
21.05,19,Thursday,residential,30.85,61.41
1.59,0,Thursday,commercial,30.39,3.77
13.62,1,Wednesday,residential,40.0,20.43
3.29,23,Sunday,commercial,27.0,8.77
16.97,4,Tuesday,residential,31.69,32.13
19.09,7,Sunday,residential,28.51,40.18
9.86,5,Wednesday,residential,37.03,15.98
